2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 577 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 578 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 579 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 582 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 581 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 580 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 579 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 580 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 581 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 584 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 583 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 582 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 582 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 583 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 584 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 589 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 589 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 588 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 587 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 587 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 587 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 590 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 589 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 589 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 590 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 591 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 592 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 591 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 590 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 591 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 592 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 592 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 595 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 596 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 597 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 601 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 600 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 599 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 600 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 599 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 598 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 597 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 597 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 598 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 601 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 602 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 601 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 600 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 600 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 601 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 604 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 605 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 604 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 603 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 664 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 665 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 668 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 700 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 699 flow
2019-04-09 11:31:52 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 698 flow
2019-04-09 11:31:53 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 799 flow
2019-04-09 11:31:53 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 800 flow
2019-04-09 11:31:53 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 801 flow
